2024-09-28T22:13:27.662+0100 INFO Forecast for city 1110600PT | 2024-09-28 | Min Temperature: 12,4 | Max Temperature: 24,5 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-09-29 | Min Temperature: 13,5 | Max Temperature: 26,9 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-09-30 | Min Temperature: 15,8 | Max Temperature: 28,5 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-10-01 | Min Temperature: 17,4 | Max Temperature: 26,5 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 19,5 | Max Temperature: 25,5 | Precipitation prob: 45,0 | Wind Direction: NW
2024-09-28T22:13:28.660+0100 INFO Forecast for city 1050200PT | 2024-09-28 | Min Temperature: 10,7 | Max Temperature: 22,6 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-09-29 | Min Temperature: 11,1 | Max Temperature: 26,1 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-30 | Min Temperature: 12,0 | Max Temperature: 28,1 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-01 | Min Temperature: 13,6 | Max Temperature: 27,7 | Precipitation prob:  3,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 15,5 | Max Temperature: 26,4 | Precipitation prob: 31,0 | Wind Direction: W
2024-09-28T22:13:29.657+0100 INFO Forecast for city 1010500PT | 2024-09-28 | Min Temperature: 11,0 | Max Temperature: 21,0 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-29 | Min Temperature: 12,1 | Max Temperature: 21,8 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-30 | Min Temperature: 14,3 | Max Temperature: 22,6 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-01 | Min Temperature: 16,5 | Max Temperature: 22,8 | Precipitation prob: 52,0 | Wind Direction: SWPT | 2024-10-02 | Min Temperature: 18,7 | Max Temperature: 22,6 | Precipitation prob: 95,0 | Wind Direction: SW
2024-09-28T22:13:30.659+0100 INFO Forecast for city 1050200PT | 2024-09-28 | Min Temperature: 10,7 | Max Temperature: 22,6 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-09-29 | Min Temperature: 11,1 | Max Temperature: 26,1 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-30 | Min Temperature: 12,0 | Max Temperature: 28,1 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-01 | Min Temperature: 13,6 | Max Temperature: 27,7 | Precipitation prob:  3,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 15,5 | Max Temperature: 26,4 | Precipitation prob: 31,0 | Wind Direction: W
2024-09-28T22:13:31.662+0100 INFO Forecast for city 3490100PT | 2024-09-28 | Min Temperature: 22,2 | Max Temperature: 26,4 | Precipitation prob: 100,0 | Wind Direction: SPT | 2024-09-29 | Min Temperature: 21,7 | Max Temperature: 26,6 | Precipitation prob: 99,0 | Wind Direction: SWPT | 2024-09-30 | Min Temperature: 23,0 | Max Temperature: 26,7 | Precipitation prob: 90,0 | Wind Direction: SWPT | 2024-10-01 | Min Temperature: 22,5 | Max Temperature: 26,5 | Precipitation prob: 97,0 | Wind Direction: SWPT | 2024-10-02 | Min Temperature: 22,8 | Max Temperature: 26,4 | Precipitation prob: 95,0 | Wind Direction: SW
2024-09-28T22:13:32.655+0100 INFO Forecast for city 1141600PT | 2024-09-28 | Min Temperature: 10,5 | Max Temperature: 25,1 | Precipitation prob:  0,0 | Wind Direction: NEPT | 2024-09-29 | Min Temperature: 10,6 | Max Temperature: 28,2 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-30 | Min Temperature: 10,3 | Max Temperature: 30,1 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-01 | Min Temperature: 16,0 | Max Temperature: 27,7 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 18,9 | Max Temperature: 27,4 | Precipitation prob: 50,0 | Wind Direction: W
2024-09-28T22:13:33.659+0100 INFO Forecast for city 3450200PT | 2024-09-28 | Min Temperature: 20,7 | Max Temperature: 26,3 | Precipitation prob: 98,0 | Wind Direction: SWPT | 2024-09-29 | Min Temperature: 20,7 | Max Temperature: 26,1 | Precipitation prob: 100,0 | Wind Direction: SWPT | 2024-09-30 | Min Temperature: 21,7 | Max Temperature: 27,0 | Precipitation prob: 80,0 | Wind Direction: SWPT | 2024-10-01 | Min Temperature: 22,2 | Max Temperature: 27,3 | Precipitation prob: 48,0 | Wind Direction: SWPT | 2024-10-02 | Min Temperature: 22,3 | Max Temperature: 27,3 | Precipitation prob: 42,0 | Wind Direction: SW
2024-09-28T22:13:34.655+0100 INFO Forecast for city 2320100PT | 2024-09-28 | Min Temperature: 20,8 | Max Temperature: 25,8 | Precipitation prob:  0,0 | Wind Direction: NEPT | 2024-09-29 | Min Temperature: 20,4 | Max Temperature: 24,5 | Precipitation prob:  0,0 | Wind Direction: NEPT | 2024-09-30 | Min Temperature: 20,1 | Max Temperature: 24,7 | Precipitation prob:  0,0 | Wind Direction: NEPT | 2024-10-01 | Min Temperature: 20,5 | Max Temperature: 25,9 | Precipitation prob:  0,0 | Wind Direction: NEPT | 2024-10-02 | Min Temperature: 21,5 | Max Temperature: 26,1 | Precipitation prob:  0,0 | Wind Direction: NE
2024-09-28T22:13:35.669+0100 INFO Forecast for city 3450200PT | 2024-09-28 | Min Temperature: 20,7 | Max Temperature: 26,3 | Precipitation prob: 98,0 | Wind Direction: SWPT | 2024-09-29 | Min Temperature: 20,7 | Max Temperature: 26,1 | Precipitation prob: 100,0 | Wind Direction: SWPT | 2024-09-30 | Min Temperature: 21,7 | Max Temperature: 27,0 | Precipitation prob: 80,0 | Wind Direction: SWPT | 2024-10-01 | Min Temperature: 22,2 | Max Temperature: 27,3 | Precipitation prob: 48,0 | Wind Direction: SWPT | 2024-10-02 | Min Temperature: 22,3 | Max Temperature: 27,3 | Precipitation prob: 42,0 | Wind Direction: SW
2024-09-28T22:13:36.657+0100 INFO Forecast for city 1090700PT | 2024-09-28 | Min Temperature:  4,7 | Max Temperature: 16,1 | Precipitation prob:  0,0 | Wind Direction: SPT | 2024-09-29 | Min Temperature: 10,5 | Max Temperature: 19,3 | Precipitation prob:  0,0 | Wind Direction: SPT | 2024-09-30 | Min Temperature: 11,4 | Max Temperature: 22,1 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-01 | Min Temperature: 10,5 | Max Temperature: 19,5 | Precipitation prob:  6,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 13,2 | Max Temperature: 19,6 | Precipitation prob: 66,0 | Wind Direction: W
